variant,detector,target_months,min_volume,lookback,side_mode,cost_multiplier,entry_level,exit_level,md_entry,component_entry,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
rank_pct_target3m_minv10_lb126_entry0p1_both_costx1p0,rank_pct,3,10.0,126,both,1.0,0.1,0.25,,1.25,0.130180272088171,0.06249647355523967,0.07294547187502692,0.024331811508998713,0.009240112657696564,2.6332808278837914,4.559415008274714,-0.009384060926352656,0.3840860215053764,0.7681720430107528,0.12688172043010754,0.8698924731182796,275,0.7854545454545454,0.00031615034005408197,7.46925878912069,930,310.2123287671233
quantile_band_target3m_minv10_lb126_entry0p1_both_costx1p0,quantile_band,3,10.0,126,both,1.0,0.1,0.25,,1.25,0.1294255298183788,0.06261716949525739,0.0721448139979895,0.02406474275138417,0.009316858625869054,2.58292453687838,4.472225208182016,-0.009384060926352656,0.3873118279569893,0.7746236559139786,0.12774193548387097,0.8720430107526882,277,0.779783393501805,0.00031080952313247343,7.400503040246432,930,310.2123287671233
quantile_band_target3m_minv10_lb126_entry0p05_both_costx1p0,quantile_band,3,10.0,126,both,1.0,0.05,0.25,,1.25,0.10950179421147924,0.04445189636213859,0.06925885758724194,0.02310209838697728,0.008451000589176536,2.7336524407020946,4.733204234643056,-0.009171619941029616,0.30322580645161296,0.6064516129032259,0.09075268817204302,0.8279569892473119,200,0.785,0.00038664651336632844,6.999358612516747,930,310.2123287671233
mad_z_target1m_minv10_lb126_entry1p5_both_costx1p0,mad_z,1,10.0,126,both,1.0,1.5,0.25,,1.25,0.14246953393091633,0.0812272297255564,0.06754800731252578,0.02253142435698634,0.007714037348380015,2.9208342323774263,5.057301634815189,-0.005285537048369846,0.3323340471092077,0.6646680942184154,0.1657387580299786,0.854389721627409,321,0.7819314641744548,0.00022392793478172489,7.822655944017025,934,311.54657534246576
quantile_band_target1m_minv10_lb126_entry0p1_both_costx1p0,quantile_band,1,10.0,126,both,1.0,0.1,0.25,,1.25,0.15196124763395524,0.09295578232935567,0.0661249285346318,0.022056739860524442,0.007722368704376507,2.856214291869307,4.9454149254803115,-0.005307568575485149,0.36466809421841545,0.7293361884368309,0.18543897216274094,0.854389721627409,358,0.776536312849162,0.00020197394540122309,7.723771923751075,934,311.54657534246576
mad_z_target3m_minv10_lb126_entry1p5_both_costx1p0,mad_z,3,10.0,126,both,1.0,1.5,0.25,,1.25,0.11169754058076256,0.05143459555311544,0.0658559351884559,0.021967013997793165,0.008687803677892729,2.5284887656579014,4.377971959663467,-0.00914549558411869,0.3290322580645162,0.6580645161290324,0.10365591397849463,0.8419354838709677,230,0.7695652173913043,0.0003270891784843231,6.725036051658073,930,310.2123287671233
rank_pct_target3m_minv10_lb126_entry0p05_both_costx1p0,rank_pct,3,10.0,126,both,1.0,0.05,0.25,,1.25,0.10404450269765646,0.043319548385404014,0.0649118825230384,0.02165211423884911,0.008335947133450471,2.597439006296423,4.497356401559121,-0.009171619941029616,0.29440860215053766,0.5888172043010753,0.08817204301075268,0.810752688172043,194,0.7835051546391752,0.0003737227622812515,6.795709549256979,930,310.2123287671233
rank_pct_target1m_minv10_lb126_entry0p1_both_costx1p0,rank_pct,1,10.0,126,both,1.0,0.1,0.25,,1.25,0.1489797270320665,0.09147511995862637,0.06462407030347235,0.02155611112177468,0.007624920311209302,2.827060512368281,4.894936382365056,-0.005307568575485148,0.35867237687366166,0.7173447537473233,0.18244111349036407,0.8533190578158458,358,0.7821229050279329,0.00020721927239732447,7.887995958953685,934,311.54657534246576
mad_z_target1m_minv10_lb126_entry2p0_both_costx1p0,mad_z,1,10.0,126,both,1.0,2.0,0.25,,1.25,0.1140511938419338,0.05643571892446435,0.060919057148437636,0.020320260843348717,0.007161133023989028,2.837576229247246,4.913143903892204,-0.005285537048369846,0.2569593147751606,0.5139186295503212,0.11092077087794433,0.7698072805139187,219,0.817351598173516,0.0002920371653108245,7.800827629613876,934,311.54657534246576
rank_pct_target1m_minv10_lb252_entry0p1_both_costx1p0,rank_pct,1,10.0,252,both,1.0,0.1,0.25,,1.25,0.14267177449606144,0.08991173747688078,0.060636476382668635,0.020226002738602485,0.007838413759286423,2.5803693655033304,4.467801036406354,-0.005065880946432683,0.38222698072805145,0.7644539614561029,0.1734475374732334,0.8811563169164882,340,0.75,0.00019136295309730975,6.462873437391784,934,311.54657534246576
